room_type,neighbourhood,date,search_count
Entire home/apt,Oostelijk Havengebied - Indische Buurt,2018-11-29,5
Entire home/apt,Noord-West,2018-11-28,13
Private room,Zuid,2018-11-28,14
Entire home/apt,Zuid,2018-11-28,11
Entire home/apt,Osdorp,2018-11-28,21
Private room,Oud-Noord,2018-11-28,2
Entire home/apt,Oud-Noord,2018-11-28,16
Private room,Bos en Lommer,2018-11-28,1
Entire home/apt,Centrum-West,2018-11-28,14
Entire home/apt,Centrum-Oost,2018-11-28,5
Private room,Westerpark,2018-11-28,5
Private room,Centrum-Oost,2018-11-28,5
Private room,Gaasperdam - Driemond,2018-11-28,7
Private room,Centrum-West,2018-11-28,30
Entire home/apt,Oud-Oost,2018-11-28,9
Entire home/apt,Bos en Lommer,2018-11-28,27
Entire home/apt,Oostelijk Havengebied - Indische Buurt,2018-11-28,14
Entire home/apt,Geuzenveld - Slotermeer,2018-11-28,18
Entire home/apt,Slotervaart,2018-11-28,16
Private room,Bijlmer-Oost,2018-11-28,13
Private room,Noord-West,2018-11-28,4
Private room,Noord-Oost,2018-11-28,2
Private room,Slotervaart,2018-11-28,12
Private room,De Pijp - Rivierenbuurt,2018-11-28,2
Private room,De Aker - Nieuw Sloten,2018-11-28,21
Entire home/apt,De Pijp - Rivierenbuurt,2018-11-28,17
Private room,Oostelijk Havengebied - Indische Buurt,2018-11-28,5
Private room,Bijlmer-Centrum,2018-11-28,10
Entire home/apt,De Baarsjes - Oud-West,2018-11-28,3
Entire home/apt,Gaasperdam - Driemond,2018-11-28,6
Entire home/apt,Westerpark,2018-11-28,24
Private room,De Baarsjes - Oud-West,2018-11-28,16
Entire home/apt,Watergraafsmeer,2018-11-28,11
Entire home/apt,Bos en Lommer,2018-11-27,3
Entire home/apt,Gaasperdam - Driemond,2018-11-27,14
Private room,Centrum-West,2018-11-27,27
Private room,Osdorp,2018-11-27,11
Private room,Westerpark,2018-11-27,13
Private room,Gaasperdam - Driemond,2018-11-27,20
Private room,Watergraafsmeer,2018-11-27,16
Private room,IJburg - Zeeburgereiland,2018-11-27,21
Entire home/apt,Westerpark,2018-11-27,28
Entire home/apt,Watergraafsmeer,2018-11-27,5
Entire home/apt,Centrum-Oost,2018-11-27,16
Private room,Bijlmer-Centrum,2018-11-27,15
Private room,Buitenveldert - Zuidas,2018-11-27,5
Entire home/apt,De Pijp - Rivierenbuurt,2018-11-27,2
Entire home/apt,Zuid,2018-11-27,10
Entire home/apt,Oud-Oost,2018-11-27,2
Private room,De Aker - Nieuw Sloten,2018-11-27,3
Entire home/apt,Oostelijk Havengebied - Indische Buurt,2018-11-27,1
Entire home/apt,Centrum-West,2018-11-27,29
Private room,Centrum-Oost,2018-11-27,12
Private room,Oud-Oost,2018-11-27,11
Private room,Zuid,2018-11-27,3
Private room,De Pijp - Rivierenbuurt,2018-11-27,10
Private room,Geuzenveld - Slotermeer,2018-11-27,14
Private room,De Baarsjes - Oud-West,2018-11-27,18
Private room,Oud-Noord,2018-11-27,2
Private room,Oostelijk Havengebied - Indische Buurt,2018-11-27,15
Entire home/apt,Bijlmer-Oost,2018-11-27,1
Entire home/apt,De Baarsjes - Oud-West,2018-11-27,30
Shared room,Geuzenveld - Slotermeer,2018-11-26,16
Private room,Osdorp,2018-11-26,3
Entire home/apt,Zuid,2018-11-26,7
Private room,Oud-Noord,2018-11-26,25
Private room,Centrum-Oost,2018-11-26,16
Private room,Noord-Oost,2018-11-26,21
Entire home/apt,De Baarsjes - Oud-West,2018-11-26,15
